LNR,RESPONSE
1754,0.026801549
1770,0.029194599
1465,0.0063173277
1470,0.0038020012
1478,0.007397312
1782,0.0061750556
1485,0.012353559
1519,0.015827056
1835,0.014094616
1522,0.0052058576
1539,0.012432664
1853,0.033654623
1856,0.004471085
2502,0.01666321
2182,0.03076236
2191,0.015359968
2522,0.017203996
2530,0.01922412
2215,0.006300506
2550,0.02302308
2570,0.024709959
2574,0.01163595
2579,0.028650293
2247,0.030139416
2674,0.006827116
11434,0.005608664
11122,0.030842848
11127,0.01630738
11443,0.025150433
11170,0.011337589
11191,0.005712228
11198,0.03870364
10936,0.010608237
11244,0.020125173
11247,0.010349361
11252,0.021730784
11259,0.010608237
10945,0.007732373
10951,0.0073361183
11271,0.016875463
10963,0.023125317
11282,0.009976668
11291,0.008075315
10980,0.0067004887
10994,0.005285343
10998,0.011337589
11303,0.0051618167
11630,0.0030192912
11636,0.007174708
11949,0.008036107
11950,0.017325195
11956,0.026060656
11648,0.011337589
11653,0.019812435
11967,0.005795269
11972,0.0039221006
11975,0.0066474387
12110,0.009607179
12113,0.043783776
11712,0.0038622643
11716,0.010608237
12000,0.007063765
11722,0.0066901473
12023,0.011337589
12046,0.004369332
11762,0.010608237
12071,0.0052162046
12077,0.006025672
11785,0.031472944
11788,0.007589285
11790,0.006809321
11800,0.016853003
11806,0.0040252795
11816,0.00585466
11505,0.009707188
11837,0.012842294
11531,0.026744956
11848,0.012394847
11854,0.0042248997
11877,0.0064915195
11563,0.015180386
11567,0.025270011
11894,0.021299172
11906,0.007232935
11917,0.011337589
11610,0.011337589
11923,0.01829684
12596,0.0069037722
12603,0.005270051
12608,0.01809922
12633,0.0104833115
12637,0.011371365
21484,0.010608237
21184,0.0068316828
21247,0.0071437056
20991,0.008344818
21018,0.013329217
21019,0.024848908
21047,0.0031941452
21054,0.0037434408
21374,0.021174714
21392,0.005886814
21713,0.0032361925
22019,0.0035731327
22025,0.032376256
21722,0.028083084
21728,0.0035716356
22039,0.011337589
22044,0.011103264
61900,0.012983211
62548,0.024093103
63176,0.014886171
64473,0.032893967
64779,0.02470414
64780,0.0030312757
64784,0.011523781
65105,0.011337589
65431,0.020740857
65433,0.03651448
66055,0.0037427987
66071,0.011337589
61280,0.017846348
61281,0.022594586
61284,0.0087727
61597,0.003525706
61606,0.0033463356
62235,0.028574836
62240,0.005425299
62241,0.0064868187
62555,0.02012788
62557,0.009345462
62565,0.003726427
62566,0.032895446
63515,0.006334253
63524,0.033333845
64797,0.008116831
65116,0.010608237
75249,0.004574609
75253,0.03148048
75575,0.011337589
76212,0.012933268
71422,0.0030794076
72059,0.0102364635
72060,0.017145608
72383,0.0073988005
72386,0.0066113295
72700,0.019773344
72715,0.0036606065
73028,0.021216638
73346,0.0050728507
73658,0.010562149
73662,0.021475434
73666,0.011853651
73668,0.012447948
73985,0.025672872
74299,0.0030806037
74310,0.016427869
74312,0.023786224
74619,0.024346786
74620,0.0032523896
74627,0.0027877965
74938,0.003204801
74952,0.014720692
75911,0.0059451764
75913,0.0066425065
76221,0.0064514363
76227,0.01044485
71448,0.0044448436
15887,0.007147214
15498,0.013463158
15504,0.014519394
15507,0.0053516943
15521,0.009797379
24403,0.0056044506
24100,0.02842348
24436,0.030543296
24440,0.013208538
24442,0.010608237
24148,0.006847817
24149,0.0043844697
24155,0.003517159
24458,0.0053193658
24169,0.019534128
24477,0.029793983
24479,0.0041807964
24486,0.014879081
24190,0.019710029
24515,0.015462661
