LNR,RESPONSE
1754,0.02904792
1770,0.010984192
1465,0.0065563964
1470,0.00052439014
1478,0.00031038522
1782,0.013931197
1485,0.014588535
1519,0.004399741
1835,0.0010757794
1522,0.055666372
1539,0.0033570968
1853,0.01449144
1856,0.0030391945
2502,0.002324079
2182,0.012981886
2191,0.011172846
2522,0.0007075125
2530,0.002751296
2215,0.0050600083
2550,0.010860746
2570,0.024334617
2574,0.0019934191
2579,0.03383197
2247,0.01648816
2674,0.00088824326
11434,0.00038179732
11122,0.03795929
11127,0.0020350146
11443,0.0016619801
11170,0.011558242
11191,0.00033817443
11198,0.05037918
10936,0.011558242
11244,0.017554484
11247,0.0007001718
11252,0.022804085
11259,0.011558242
10945,0.00016843564
10951,0.004805083
11271,0.0040868293
10963,0.0069656423
11282,0.0074248826
11291,0.0053469036
10980,0.019212859
10994,0.0016953069
10998,0.011558242
11303,0.002461441
11630,0.0007757897
11636,0.005801399
11949,0.0006162152
11950,0.0034211397
11956,0.0048608505
11648,0.011558242
11653,0.011136859
11967,0.0006520206
11972,0.001805639
11975,0.00788658
12110,0.009161114
12113,0.0036926758
11712,0.0009640345
11716,0.011558242
12000,0.005835812
11722,0.0013561519
12023,0.011558242
12046,0.0021711653
11762,0.011558242
12071,0.014778547
12077,0.0031098893
11785,0.04039345
11788,0.014083535
11790,0.0022595818
11800,0.0061992826
11806,0.0007224634
11816,0.002868158
11505,0.00045763692
11837,0.00725211
11531,0.033416793
11848,0.0040759095
11854,0.0012649978
11877,0.0063597546
11563,0.0040267785
11567,0.016137065
11894,0.0014328818
11906,0.0038000743
11917,0.011558242
11610,0.011558242
11923,0.0015414255
12596,0.005453502
12603,0.0025256192
12608,0.052442513
12633,0.0072614886
12637,0.0004699523
21484,0.011558242
21184,0.003956311
21247,0.0014252919
20991,0.007054824
21018,0.0019147616
21019,0.013468029
21047,0.00017221076
21054,0.010206635
21374,0.016447436
21392,0.023261042
21713,0.013303304
22019,0.0014288974
22025,0.022383953
